cas,chemical_name,canonical_smiles,log_kow,water_solubility_mg_l,mw_g_mol,test,aster,irac_moa,efsa_selection_criteria,kramer_moa,test_moa_reduced,aster_moa_reduced,kramer_moa_reduced,efsa_moa_reduced,irac_moa_reduced
51580860,Sodium dichloro-s-triazinetrione dihydrate,O.O.[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl,-2.74,484000,197.97,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
515424,"Benzenesulfonic acid, sodium salt",[Na+].[O-]S(=O)(=O)C1=CC=CC=C1,-1.17,690000,158.16999999999999,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
51525,6-Propyl-2-thiouracil,CCCC1=CC(=O)NC(=S)N1,0.98,1200,170.23,Narcosis,Nonpolar narcosis,NA,in vivo positive,Endocrine,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,neurotoxic,NA
51489,Levothyroxine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,4.12,1.05E-4,776.88,Out of domain,Nonpolar narcosis,NA,NA,Endocrine,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51481619,Cimetidine,CN\C(NCCSCC1=C(C)NC=N1)=N/C#N,0.4,9380,252.34,Narcosis,Nonpolar narcosis,NA,NA,Antihistamine,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51436998,4-Bromo-2-fluorotoluene,CC1=C(F)C=C(Br)C=C1,3.64,38.700000000000003,189.03,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
5141208,FD&C Green No. 2,[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(C1=CC=C(C=C1)S([O-])(=O)=O)=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O,2.0499999999999998,2.8700000000000002E-3,750.9,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
514103,Abietic acid,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1,6.46,48.4,302.45999999999998,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
5138909,"Benzenesulfonic acid, 4-chloro-, sodium salt (1:1)",[Na+].[O-]S(=O)(=O)C1=CC=C(Cl)C=C1,-0.52,133000,192.62,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
51384511,Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,1.88,16900,267.37,Narcosis,Nonpolar narcosis,NA,negative control,Cardiovascular system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,No categorization,NA
513815,"2,3-Dimethyl-1,3-butadiene",CC(=C)C(C)=C,3.13,326,82.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
5137553,Methyltrioctylammonium chloride,[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,8.1300000000000008,5.3499999999999999E-4,369.72,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
513484,2-Iodobutane,CCC(C)I,2.99,210,184.02,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
51338273,Diclofop-methyl,COC(=O)C(C)OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,4.62,0.8,341.19,Narcosis,Ester narcosis,NA,NA,Lipid metabolism,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51285,"2,4-Dinitrophenol",OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,1.67,2790,184.11,Uncoupler,Nonpolar narcosis,NA,NA,Respiratory system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51276472,Glufosinate,CP(O)(=O)CCC(N)C(O)=O,-4.49,1000000,181.13,Out of domain,Nonpolar narcosis,NA,NA,Photosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
512561,Trimethyl phosphate,COP(=O)(OC)OC,-0.65,500000,140.08000000000001,AChE inhibition,OP mediated AChE inhibition,NA,NA,NA,AChE inhibition,OP mediated AChE inhibition,NA,NA,NA
5124254,C.I.Disperse Yellow 42,[O-][N+](=O)C1=CC(=CC=C1NC1=CC=CC=C1)S(=O)(=O)NC1=CC=CC=C1,4.5999999999999996,0.19900000000000001,369.4,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
51235042,Hexazinone,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,1.85,33000,252.32,Narcosis,Nonpolar narcosis,NA,NA,Photosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51218496,Pretilachlor,CCCOCCN(C(=O)CCl)C1=C(CC)C=CC=C1CC,4.08,50,311.86,Narcosis,Nonpolar narcosis,NA,NA,Lipid metabolism,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51218452,Metolachlor,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1,2.9,488,283.8,Narcosis,Nonpolar narcosis,NA,NA,"Lipid metabolism, Endocrine",Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51218,5-Fluorouracil,FC1=CNC(=O)NC1=O,-0.89,11100,130.08000000000001,Narcosis,Nonpolar narcosis,NA,NA,Nucleic acid biosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
51207319,"2,3,7,8-Tetrachlorodibenzofuran",ClC1=CC2=C(C=C1Cl)C1=CC(Cl)=C(Cl)C=C1O2,6.53,6.9200000000000002E-4,305.98,Narcosis,Neurotoxicant: Cyclodiene-type,NA,NA,NA,Non-neurotoxic,Neurotoxicant: Cyclodiene-type,NA,NA,NA
51200874,"4,4-Dimethyloxazolidine",CC1(C)COCN1,-0.08,1000000,101.15,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
5103742,trans-Chlordane,[H][C@]12C[C@@H](Cl)[C@H](Cl)[C@@]1([H])[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,6.22,5.6000000000000001E-2,409.78,Neurotoxicity,Neurotoxicant: Cyclodiene-type,gaba_gated_chloride_channel_blockers_cyclodiene_organochlorines,NA,Neuroactive,Neurotoxicity,Neurotoxicant: Cyclodiene-type,Neuroactive,NA,irac_moa_other
5103719,cis-Chlordane,Cl[C@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,6.22,5.6000000000000001E-2,409.78,Neurotoxicity,Neurotoxicant: Cyclodiene-type,gaba_gated_chloride_channel_blockers_cyclodiene_organochlorines,NA,Neuroactive,Neurotoxicity,Neurotoxicant: Cyclodiene-type,Neuroactive,NA,irac_moa_other
51036,Piperonyl butoxide,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,4.75,14.3,338.45,Narcosis,Nonpolar narcosis,NA,NA,Neuromuscular system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
510156,Chlorobenzilate,CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,4.74,13,325.19,Narcosis,Ester narcosis,NA,NA,Neuroactive,Non-neurotoxic,Non-neurotoxic,Neuroactive,NA,NA
508327,"1,7,7-Trimethyltricyclo[2.2.1.02,6]heptane",CC12C3CC(CC13)C2(C)C,4.13,7.48,136.24,Neurotoxicity,Nonpolar narcosis,NA,NA,NA,Neurotoxicity,Non-neurotoxic,NA,NA,NA
50782,Aspirin,CC(=O)OC1=C(C=CC=C1)C(O)=O,1.19,4600,180.16,Narcosis,Ester narcosis,NA,negative control,Antiinflammatory,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,No categorization,NA
50737,"2,3,5-Trichlorobenzoic acid",OC(=O)C1=C(Cl)C(Cl)=CC(Cl)=C1,3.47,35.299999999999997,225.46,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50723803,Bentazone-sodium,[Na+].CC(C)N1C(=O)C2=C([N-]S1(=O)=O)C=CC=C2,2.34,500,240.28,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50715,Alloxan,O=C1NC(=O)C(=O)C(=O)N1,-1.84,1000000,142.07,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
506967,Acetyl bromide,CC(Br)=O,-0.38,208000,122.95,Narcosis,Acylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
506774,Cyanogen chloride,ClC#N,-0.38,1000000,61.47,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
506683,Cyanogen bromide,BrC#N,-0.28999999999999998,1000000,105.92,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50657,Niclosamide,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O,4.5599999999999996,1.6,327.13,Narcosis,Nonpolar narcosis,NA,NA,"Metabolic system, Respiratory system, Nucleic acid damage",Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
5064313,"Glycine, N,N-bis(carboxymethyl)-, trisodium salt",[Na+].[Na+].[Na+].[O-]C(=O)CN(CC([O-])=O)CC([O-])=O,-3.81,59300,191.14,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50635,Chloroquine bis(phosphate),OP(O)(O)=O.OP(O)(O)=O.CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,4.63,10.6,319.88,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50594677,Acifluorfen-methyl,COC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,4.26,0.40500000000000003,375.69,Out of domain,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50594666,Acifluorfen,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,3.7,120,361.66,Out of domain,Nonpolar narcosis,NA,NA,Photosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
50533,Chlorpromazine,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,5.41,2.5499999999999998,318.87,Narcosis,Neurotoxicant: Cyclodiene-type,NA,NA,"Neuroactive, Antihistamine",Non-neurotoxic,Neurotoxicant: Cyclodiene-type,Non-neurotoxic,NA,NA
505328,Isophytol,CC(C)CCCC(C)CCCC(C)CCCC(C)(O)C=C,8.23,3.8899999999999998E-3,296.54000000000002,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
505293,"1,4-Dithiane",C1CSCCS1,0.77,3000,120.23,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50512351,Isoprothiolane,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,2.88,54,290.39,Out of domain,Diester toxicity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50486,Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,4.92,9.7100000000000009,277.41000000000003,Narcosis,Nonpolar narcosis,NA,NA,Neuroactive,Non-neurotoxic,Non-neurotoxic,Neuroactive,NA,NA
50471448,Vinclozolin,CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C,3.1,2.6,286.12,AChE inhibition,Nonpolar narcosis,NA,NA,"Signal transduction, Endocrine",AChE inhibition,Non-neurotoxic,Non-neurotoxic,NA,NA
504632,"1,3-Propanediol",OCCCO,-1.04,1000000,76.099999999999994,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50442,6-Mercaptopurine,S=C1NC=NC2=C1N=CN2,-0.25,61100,152.16999999999999,Narcosis,Nonpolar narcosis,NA,NA,Nucleic acid biosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
504290,2-Aminopyridine,NC1=CC=CC=N1,0.48,890000,94.12,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
504245,4-Aminopyridine,NC1=CC=NC=C1,0.32,112000,94.12,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
504201,Phorone,CC(C)=CC(=O)C=C(C)C,2.68,436,138.21,Narcosis,Alkylation / arylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
503877,"4-Imidazolidinone, 2-thioxo-",O=C1CNC(=S)N1,-0.43,11800,116.14,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
503764,2-Chloro-1-nitropropane,CC(Cl)C[N+](=O)[O-],1.1299999999999999,4340,123.54,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50375105,"2,3,6-Trichloroanisole",COC1=C(Cl)C=CC(Cl)=C1Cl,3.64,29.7,211.48,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
503742,Isovaleric acid,CC(C)CC(O)=O,1.1599999999999999,40700,102.13,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50328,Benzo(a)pyrene,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,6.13,1.6199999999999999E-3,252.32,Narcosis,Nonpolar narcosis,NA,NA,"Cancerogen, Nucleic acid damage, Endocrine, Lipid metabolism",Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
50317,"2,3,6-Trichlorobenzoic acid",OC(=O)C1=C(Cl)C(Cl)=CC=C1Cl,2.71,7700,225.46,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50306,"2,6-Dichlorobenzoic acid",OC(=O)C1=C(Cl)C=CC=C1Cl,2.23,14100,191.01,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50293,"p,p'-DDT",ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,6.91,5.4999999999999997E-3,354.49,Narcosis,Nonpolar narcosis,sodium_channel_modulators,NA,Neuroactive,Non-neurotoxic,Non-neurotoxic,Neuroactive,NA,sodium_channel_modulators
50282,17beta-Estradiol,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],4.01,3.9,272.39,Out of domain,Nonpolar narcosis,NA,NA,Endocrine,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
50271,Estriol,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O,2.4500000000000002,500,288.39,Out of domain,Nonpolar narcosis,NA,NA,Endocrine,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
502567,5-Nonanone,CCCCC(=O)CCCC,2.88,363,142.24,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50248,Prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.62,223,360.45,Neurotoxicity,Nonpolar narcosis,NA,NA,Endocrine,Neurotoxicity,Non-neurotoxic,Non-neurotoxic,NA,NA
50215,Lactic acid,CC(O)C(O)=O,-0.72,1000000,90.08,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50180,Cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,0.63,40000,261.08999999999997,AChE inhibition,Alkylation / arylation based reactivity,NA,NA,Nucleic acid damage,AChE inhibition,Non-neurotoxic,Non-neurotoxic,NA,NA
5015758,"Benzenesulfonic acid, 4-bromo-, sodium salt",[Na+].[O-]S(=O)(=O)C1=CC=C(Br)C=C1,-0.28000000000000003,47900,237.07,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
501520,Hydrocinnamic acid,OC(=O)CCC1=CC=CC=C1,1.84,5900,150.18,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
500992,"Phenol, 3,5-dimethoxy-",COC1=CC(OC)=CC(O)=C1,1.64,11000,154.16999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
500856,"2,5-Cyclohexadien-1-one, 4-[(4-hydroxyphenyl)imino]-",OC1=CC=C(C=C1)N=C1C=CC(=O)C=C1,1.83,4570,199.21,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50066,Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,1.47,1110,232.24,Narcosis,Nonpolar narcosis,NA,NA,Neuroactive,Non-neurotoxic,Non-neurotoxic,Neuroactive,NA,NA
500287,Chlorthion,COP(=S)(OC)OC1=CC=C(C(Cl)=C1)[N+]([O-])=O,3.45,40,297.64999999999998,AChE inhibition,OP mediated AChE inhibition,NA,NA,Neuromuscular system,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,NA
500221,3-Pyridinecarboxaldehyde,O=CC1=CC=CN=C1,0.28999999999999998,62900,107.11,Narcosis,Carbonyl reactivity (aldehyde eq. #1),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
50022,Dexamethasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1.94,66.5,392.47,Neurotoxicity,Neurotoxicant: Cyclodiene-type,NA,human positive,Endocrine,Neurotoxicity,Neurotoxicant: Cyclodiene-type,Non-neurotoxic,neurotoxic,NA
500008457,Chlorantraniliprole,CNC(=O)C1=C(NC(=O)C2=CC(Br)=NN2C2=C(Cl)C=CC=N2)C(C)=CC(Cl)=C1,2.76,0.95,483.15,Narcosis,Nonpolar narcosis,ryanodine_receptor_modulators_diamides,NA,Neuromuscular system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,irac_moa_other
50000,Formaldehyde,C=O,0.35,400000,30.03,Reactivity,Carbonyl reactivity (aldehyde eq. #3),NA,NA,Cancerogen,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
499832,"2,6-Pyridinedicarboxylic acid",OC(=O)C1=CC=CC(=N1)C(O)=O,0.56999999999999995,5000,167.12,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
49866877,Difenzoquat,CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1,0.71,5860,250.35,Narcosis,Nonpolar narcosis,NA,NA,Cell membrane disruption,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
498668,Norbornylene,C1CC2CC1C=C2,3.24,60.3,94.16,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4979322,"N,N-Dicyclohexyl-2-benzothiazolesulfenamide",C1CCC(CC1)N(SC1=NC2=C(S1)C=CC=C2)C1CCCCC1,4.8,5.6399999999999999E-2,346.55,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
497370,exo-Norborneol,O[C@@H]1C[C@H]2CC[C@@H]1C2,1.37,23400,112.17,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
497198,Sodium carbonate,[Na+].[Na+].[O-]C([O-])=O,-0.46,842000,62.03,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
496162,"2,3-Dihydrobenzofuran",C1CC2=CC=CC=C2O1,2.14,1490,120.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
496117,Indan,C1CC2=CC=CC=C2C1,3.18,109,118.18,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
49562289,Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,5.19,0.19600000000000001,360.84,Narcosis,Ester narcosis,NA,NA,Lipid metabolism,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
495545,C.I. Basic Orange 2- parent (Chrysoidine free base),NC1=CC=C(\N=N/C2=CC=CC=C2)C(N)=C1,2.13,213,212.26,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
494995,"Benzene, 1,2-dimethoxy-4-methyl-",COC1=C(OC)C=C(C)C=C1,2.19,1010,152.19,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
493527,Methyl red,CN(C)C1=CC=C(C=C1)\N=N\C1=C(C=CC=C1)C(O)=O,3.83,3.67,269.31,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
493094,"1,4-Benzodioxin, 2,3-dihydro-",C1COC2=C(O1)C=CC=C2,2.0099999999999998,1670,136.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
492864,"Benzeneacetic acid, 4-chloro-.alpha.-hydroxy-",OC(C(O)=O)C1=CC=C(Cl)C=C1,1.21,37900,186.6,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
492375,"Benzeneacetic acid, .alpha.-methyl-",CC(C(O)=O)C1=CC=CC=C1,1.85,4990,150.18,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
492228,Thioxanthone,O=C1C2=CC=CC=C2SC2=CC=CC=C12,3.99,1.1499999999999999,212.27,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4921497,8-Chlorocaffeine,CN1C(Cl)=NC2=C1C(=O)N(C)C(=O)N2C,0.8,6410,228.64,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4920778,3-Methyl-2-nitrophenol,CC1=C(C(O)=CC=C1)[N+]([O-])=O,2.29,3510,153.13999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4916578,"1,2-bis(4-Pyridyl)ethane",C(CC1=CC=NC=C1)C1=CC=NC=C1,2.36,10100,184.24,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
491543,Kaempferide,COC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,2.52,328,300.27,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
490799,"Benzoic acid, 2,5-dihydroxy-",OC(=O)C1=C(O)C=CC(O)=C1,1.74,5000,154.12,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4904614,"1,5,9-Cyclododecatriene",C1CC=CCCC=CCCC=C1,5.5,0.39,162.28,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
4901513,"2,3,4,5-Tetrachlorophenol",OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1,4.21,28.7,231.89,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
487547,Salicylurate,OC(=O)CNC(=O)C1=CC=CC=C1O,0.95,27200,195.18,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
486259,9-Fluorenone,O=C1C2=CC=CC=C2C2=CC=CC=C12,3.58,3.74,180.21,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
485494,Bicuculline,[H][C@]1(OC(=O)C2=C1C=CC1=C2OCO1)[C@@]1([H])N(C)CCC2=C1C=C1OCOC1=C2,2.31,529,367.36,Out of domain,Carbonyl based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
485314,Binapacryl,CCC(C)C1=CC(=CC(=C1OC(=O)C=C(C)C)[N+]([O-])=O)[N+]([O-])=O,4.49,1,322.32,Narcosis,Acrylate toxicity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4839467,"Pentanedioic acid, 3,3-dimethyl-",CC(C)(CC(O)=O)CC(O)=O,0.61,51300,160.16999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
483658,Retene,CC(C)C1=CC2=C(C=C1)C1=C(C=C2)C(C)=CC=C1,6.35,8.4799999999999997E-3,234.34,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4834495,"2,4-D compd. with N-9-octadecenyl-1,3-propanediamine (2:1)",OC(=O)COC1=C(Cl)C=C(Cl)C=C1.OC(=O)COC1=C(Cl)C=C(Cl)C=C1.CCCCCCCCC=CCCCCCCCCNCCCN,7.47,3.7199999999999997E-2,324.60000000000002,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
482893,Indigo,O=C1C(NC2=C1C=CC=C2)=C1NC2=C(C=CC=C2)C1=O,3.72,13.4,262.27,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
4824786,Bromophos-ethyl,CCOP(=S)(OCC)OC1=C(Cl)C=C(Br)C(Cl)=C1,6.15,0.44,394.05,AChE inhibition,OP mediated AChE inhibition,NA,NA,Neuroactive,AChE inhibition,OP mediated AChE inhibition,Neuroactive,NA,NA
481425,"1,4-Naphthalenedione, 5-hydroxy-2-methyl-",CC1=CC(=O)C2=C(C=CC=C2O)C1=O,2.5,300,188.18,Narcosis,Alkylation / arylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
481390,Juglone,OC1=CC=CC2=C1C(=O)C=CC2=O,1.92,5120,174.16,Narcosis,Alkylation / arylation based reactivity,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
